id,median_house_value
17001.0,300001 - 350000
17002.0,150001 - 200000
17003.0,250001 - 300000
17004.0,300001 - 350000
17005.0,50001 - 100000
17006.0,50001 - 100000
17007.0,50001 - 100000
17008.0,150001 - 200000
17009.0,150001 - 200000
17010.0,150001 - 200000
17011.0,100001 - 150000
17012.0,50001 - 100000
17013.0,250001 - 300000
17014.0,200001 - 250000
17015.0,200001 - 250000
17016.0,150001 - 200000
17017.0,150001 - 200000
17018.0,100001 - 150000
17019.0,250001 - 300000
17020.0,400001 - 450000
17021.0,100001 - 150000
17022.0,50001 - 100000
17023.0,200001 - 250000
17024.0,100001 - 150000
17025.0,150001 - 200000
17026.0,450001 - 500000
17027.0,200001 - 250000
17028.0,350001 - 400000
17029.0,300001 - 350000
17030.0,400001 - 450000
17031.0,100001 - 150000
17032.0,150001 - 200000
17033.0,100001 - 150000
17034.0,100001 - 150000
17035.0,150001 - 200000
17036.0,150001 - 200000
17037.0,250001 - 300000
17038.0,150001 - 200000
17039.0,100001 - 150000
17040.0,200001 - 250000
17041.0,50001 - 100000
17042.0,250001 - 300000
17043.0,450001 - 500000
17044.0,50001 - 100000
17045.0,200001 - 250000
17046.0,200001 - 250000
17047.0,200001 - 250000
17048.0,100001 - 150000
17049.0,100001 - 150000
17050.0,150001 - 200000
17051.0,150001 - 200000
17052.0,14999 - 50000
17053.0,150001 - 200000
17054.0,150001 - 200000
17055.0,150001 - 200000
17056.0,150001 - 200000
17057.0,50001 - 100000
17058.0,150001 - 200000
17059.0,250001 - 300000
17060.0,150001 - 200000
17061.0,250001 - 300000
17062.0,200001 - 250000
17063.0,250001 - 300000
17064.0,50001 - 100000
17065.0,250001 - 300000
17066.0,250001 - 300000
17067.0,100001 - 150000
17068.0,200001 - 250000
17069.0,100001 - 150000
17070.0,150001 - 200000
17071.0,250001 - 300000
17072.0,100001 - 150000
17073.0,200001 - 250000
17074.0,300001 - 350000
17075.0,150001 - 200000
17076.0,150001 - 200000
17077.0,150001 - 200000
17078.0,200001 - 250000
17079.0,300001 - 350000
17080.0,400001 - 450000
17081.0,100001 - 150000
17082.0,200001 - 250000
17083.0,150001 - 200000
17084.0,100001 - 150000
17085.0,200001 - 250000
17086.0,100001 - 150000
17087.0,50001 - 100000
17088.0,150001 - 200000
17089.0,50001 - 100000
17090.0,200001 - 250000
17091.0,100001 - 150000
17092.0,200001 - 250000
17093.0,200001 - 250000
17094.0,200001 - 250000
17095.0,250001 - 300000
17096.0,50001 - 100000
17097.0,50001 - 100000
17098.0,100001 - 150000
17099.0,200001 - 250000
17100.0,150001 - 200000
17101.0,100001 - 150000
17102.0,100001 - 150000
17103.0,200001 - 250000
17104.0,250001 - 300000
17105.0,100001 - 150000
17106.0,50001 - 100000
17107.0,150001 - 200000
17108.0,250001 - 300000
17109.0,150001 - 200000
17110.0,300001 - 350000
17111.0,350001 - 400000
17112.0,50001 - 100000
17113.0,350001 - 400000
17114.0,250001 - 300000
17115.0,100001 - 150000
17116.0,300001 - 350000
17117.0,150001 - 200000
17118.0,450001 - 500000
17119.0,450001 - 500000
17120.0,250001 - 300000
17121.0,200001 - 250000
17122.0,100001 - 150000
17123.0,100001 - 150000
17124.0,200001 - 250000
17125.0,450001 - 500000
17126.0,100001 - 150000
17127.0,50001 - 100000
17128.0,300001 - 350000
17129.0,450001 - 500000
17130.0,150001 - 200000
17131.0,150001 - 200000
17132.0,150001 - 200000
17133.0,200001 - 250000
17134.0,50001 - 100000
17135.0,50001 - 100000
17136.0,450001 - 500000
17137.0,100001 - 150000
17138.0,150001 - 200000
17139.0,150001 - 200000
17140.0,400001 - 450000
17141.0,100001 - 150000
17142.0,100001 - 150000
17143.0,150001 - 200000
17144.0,50001 - 100000
17145.0,50001 - 100000
17146.0,100001 - 150000
17147.0,100001 - 150000
17148.0,50001 - 100000
17149.0,150001 - 200000
17150.0,50001 - 100000
17151.0,150001 - 200000
17152.0,250001 - 300000
17153.0,350001 - 400000
17154.0,150001 - 200000
17155.0,200001 - 250000
17156.0,150001 - 200000
17157.0,100001 - 150000
17158.0,250001 - 300000
17159.0,50001 - 100000
17160.0,300001 - 350000
17161.0,150001 - 200000
17162.0,450001 - 500000
17163.0,100001 - 150000
17164.0,50001 - 100000
17165.0,100001 - 150000
17166.0,200001 - 250000
17167.0,250001 - 300000
17168.0,100001 - 150000
17169.0,50001 - 100000
17170.0,100001 - 150000
17171.0,50001 - 100000
17172.0,150001 - 200000
17173.0,50001 - 100000
17174.0,50001 - 100000
17175.0,50001 - 100000
17176.0,150001 - 200000
17177.0,100001 - 150000
17178.0,250001 - 300000
17179.0,50001 - 100000
17180.0,150001 - 200000
17181.0,150001 - 200000
17182.0,150001 - 200000
17183.0,400001 - 450000
17184.0,200001 - 250000
17185.0,100001 - 150000
17186.0,450001 - 500000
17187.0,250001 - 300000
17188.0,100001 - 150000
17189.0,150001 - 200000
17190.0,200001 - 250000
17191.0,150001 - 200000
17192.0,150001 - 200000
17193.0,100001 - 150000
17194.0,150001 - 200000
17195.0,100001 - 150000
17196.0,100001 - 150000
17197.0,150001 - 200000
17198.0,150001 - 200000
17199.0,100001 - 150000
17200.0,100001 - 150000
17201.0,50001 - 100000
17202.0,50001 - 100000
17203.0,100001 - 150000
17204.0,200001 - 250000
17205.0,200001 - 250000
17206.0,50001 - 100000
17207.0,150001 - 200000
17208.0,150001 - 200000
17209.0,150001 - 200000
17210.0,100001 - 150000
17211.0,150001 - 200000
17212.0,250001 - 300000
17213.0,250001 - 300000
17214.0,14999 - 50000
17215.0,100001 - 150000
17216.0,400001 - 450000
17217.0,200001 - 250000
17218.0,50001 - 100000
17219.0,300001 - 350000
17220.0,450001 - 500000
17221.0,200001 - 250000
17222.0,50001 - 100000
17223.0,100001 - 150000
17224.0,300001 - 350000
17225.0,50001 - 100000
17226.0,200001 - 250000
17227.0,150001 - 200000
17228.0,150001 - 200000
17229.0,100001 - 150000
17230.0,250001 - 300000
17231.0,150001 - 200000
17232.0,200001 - 250000
17233.0,400001 - 450000
17234.0,150001 - 200000
17235.0,300001 - 350000
17236.0,50001 - 100000
17237.0,300001 - 350000
17238.0,200001 - 250000
17239.0,200001 - 250000
17240.0,150001 - 200000
